address,bathrooms,change,country,description,detailedType,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasStaging,hasVideo,highlight,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,newDevelopmentHighlight,notes,numPhotos,operation,parkingSpace,price,priceByArea,priceInfo,propertyCode,propertyType,province,query_district_id,rooms,savedAd,showAddress,size,status,suggestedTexts,thumbnail,topNewDevelopment,topPlus,url
calle del Duc,2,{},es,"Fabuloso piso con elementos originales en finca regia del Barrio Gótico.  Este encantador piso se sitúa en una de las calles más distinguidas del casco histórico de Barcelona, muy cerca de la Plaza Catalunya y la Catedral. En los alrededores podrás disfrutar de las calles y plazas de la zona, numerosas tiendas, cafés y restaurantes, centros comerciales y una excelente red de transporte público. La vivienda tiene 148 m2 construidos interiores y 2 balcones que suman 8 m2. Está en la segunda planta real de una finca regia con ascensor. La entrada nos lleva a mano derecha al gran salón de casi 35 m2. Se trata de un espacio muy luminoso y agradable, con 2 grandes ventanales que tienen acceso a un balcón de que da a la calle. Es el lugar ideal para disfrutar de tu día a día. Al otro lado encontramos un espacio abierto de comedor y cocina, que está equipada con electrodomésticos. La zona de noche tiene 3 dormitorios. La habitación principal en suite dispone de salida al balcón, un amplio vestidor y cuarto de baño. Los otros 2 dormitorios tienen acceso a un balcón que da a un tranquilo patio interior de manzana y comparten un cuarto de baño independiente. El piso mantiene elementos originales cuyo encanto se combina a la perfección con los elementos modernos. Destacan las vigas de madera vistas, los suelos hidráulicos, los porticones correderos de madera y los techos altos que potencian la sensación de espacio y luminosidad en todos los rincones. Además, está equipado con aire acondicionado por splits y calefacción por radiadores de gas natural. Esta vivienda goza de una ubicación privilegiada muy céntrica, en una zona peatonal sin tráfico que te permitirá disfrutar con tranquilidad del estilo de vida barcelonés en su máximo esplendor. Tendrás una gran oferta cultural, gastronómica y comercial a tu alcance, con la estación de Plaza Catalunya (tren, metro y FFGG) a solo 5 minutos andando, el mercado de La Boqueria, el Ateneu, el Liceu y el Palau de la Música muy cerca, un parking a pocos pasos y la playa a 20 minutos. No dudes en contactar con Bcn Advisors para visitar este piso. En nuestra web encontrarás muchos más inmuebles que los publicados aquí y además disponemos de un amplio catálogo privado de propiedades que pueden ajustarse a lo que estás buscando.",{'typology': 'flat'},456,Ciutat Vella,True,BCN075890010,2,False,True,True,True,True,True,{'groupDescription': 'Top+'},41.3840209,2.1751218,Barcelona,El Gòtic,False,,False,[],37,sale,,845000.0,5559.0,"{'price': {'amount': 845000.0, 'currencySuffix': '€'}}",109391214,flat,Barcelona,1,3,{},False,152.0,good,"{'subtitle': 'El Gòtic, Barcelona', 'title': 'Piso en calle del Duc'}",https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2f/dd/e6/1381367680.webp,False,True,https://www.idealista.com/inmueble/109391214/
calle de les Jonqueres,4,{},es,"Exclusiva propiedad en venta de 325 m² construidos con una espectacular terraza privada de 70 m². Completamente reformada y con una ubicación excepcional, esta propiedad se compone de la unión de dos pisos permitiendo versatilidad tanto para uso familiar como para inversión. Con altos techos, iluminación led perimetral y acabados contemporáneos, esta vivienda cuenta con una atmósfera acogedora y funcional.   Este piso está dotado de doble orientación, en el ala derecha de la propiedad encontramos una suite principal de grandes dimensiones que cuenta con un amplio vestidor tipo walk-in, un baño completo con acceso al patio interior y un despacho con vistas al exterior. El ala derecha, con posibilidad de segregarse en un segundo piso, dispone de tres habitaciones, uno en tipo suite con acceso a un patio interior, una habitación doble y un tercero actualmente destinado a lavandería, además de un baño completo y un aseo de cortesía. El amplio salón-comedor es el centro de la vivienda está conectado con la cocina americana equipada, con altos techos y ventanales amplios que iluminan de luz natural a los espacios, se accede a la gran terraza privada de la propiedad. El piso se sitúa en una tranquila calle peatonal del centro de Barcelona, en una zona con excelente comunicación y todos los servicios a pocos pasos. La calle Jonqueres es una de las calles más valoradas por su cercanía a puntos icónicos, como Plaza Cataluña, El Born y Paseo de Gracia, lo que convierte esta ubicación en una de las más codiciadas para residir o invertir.   En Walter Haus sabemos que encontrar la propiedad ideal es más que una inversión: es elegir un hogar que refleje tu estilo de vida.   Descubre las propiedades que tenemos entrando a nuestro sitio web y conoce todos los inmuebles exclusivos que solo Walter Haus tiene para ti.   ¡Contáctanos para más información!",{'typology': 'flat'},964,Ciutat Vella,True,5251V,1,False,True,True,True,False,True,{'groupDescription': 'Top+'},41.3885517,2.1720406,Barcelona,Sant Pere - Santa Caterina i la Ribera,False,,False,[],74,sale,,1700000.0,5231.0,"{'price': {'amount': 1700000.0, 'currencySuffix': '€'}}",109296142,flat,Barcelona,1,5,{},False,325.0,good,"{'subtitle': 'Sant Pere - Santa Caterina i la Ribera, Barcelona', 'title': 'Piso en calle de les Jonqueres'}",https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/65/5a/9f/1370227761.webp,False,True,https://www.idealista.com/inmueble/109296142/
calle de Manresa,2,{},es,"Excepcional y luminoso piso reformado a estrenar en El Born. Esta vivienda totalmente exterior es una pieza única en el corazón del emblemático barrio del Born. Se sitúa en un edificio construido en 1992 y tiene 2 fachadas exteriores, una curva y otra recta, que le aportan muchísima luz natural y sensación de tranquilidad en plena ciudad. Sus 7 ventanales aportan agradables vistas a los árboles, a una plaza y a los edificios históricos de la zona. El piso ha sido totalmente reformado y está listo para estrenar, amueblado. Según Catastro, tiene 96 m2 construidos y 10 m2 de elementos comunes. Está en la tercera planta real del edificio. El recibidor nos conduce a la zona de día, que ocupa la parte central del piso. Se trata de un salón-comedor con cocina integrada equipada con electrodomésticos de alta gama. A su lado, hay un espacio para la lavadora. La zona de noche tiene 3 dormitorios dobles exteriores que se distribuyen alrededor de la fachada curva, por lo que las paredes redondeadas les otorgan una sensación de suavidad. La habitación principal tiene armario empotrado y cuarto de baño en suite. Por último, hay un cuarto de baño independiente. La reforma se ha realizado con materiales y acabados de primera calidad, con mucho cuidado en los detalles. La vivienda está equipada con suelos de parquet de madera natural y aire acondicionado frío/calor por conductos. El edificio tiene ascensor. Esta propiedad se sitúa cerca de la Via Laietana y el Paseo de Isabel II, una ubicación inmejorable en el ecléctico barrio del Born. Aquí encontrarás una animada oferta de ocio, atractivos culturales, el parque de la Ciutadella a pocos pasos, todos los comercios y servicios que necesitas y una excelente conexión mediante transporte público. No dudes en contactar con Bcn Advisors para visitar este piso. En nuestra web encontrarás muchos más inmuebles que los publicados aquí y además disponemos de un amplio catálogo privado de propiedades que pueden ajustarse a lo que estás buscando.",{'typology': 'flat'},551,Ciutat Vella,True,BCN076470010,3,False,True,True,True,False,True,{'groupDescription': 'Top+'},41.3816337,2.1802438,Barcelona,Sant Pere - Santa Caterina i la Ribera,False,,False,[],32,sale,,695000.0,6557.0,"{'price': {'amount': 695000.0, 'currencySuffix': '€'}}",109633714,flat,Barcelona,1,3,{},False,106.0,good,"{'subtitle': 'Sant Pere - Santa Caterina i la Ribera, Barcelona', 'title': 'Piso en calle de Manresa'}",https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/70/4e/a2/1381815502.webp,False,True,https://www.idealista.com/inmueble/109633714/
Barrio La Dreta de l'Eixample,4,{},es,"Espectacular y amplio piso reformado a estrenar en el centro de Barcelona. Este maravilloso piso tiene una ubicación envidiable en Barcelona, a solo una calle de Plaza Catalunya y el Paseo de Gracia. Podrás disfrutar del encanto del Eixample y de todas las ventajas del centro de la ciudad, con la mejor oferta de servicios, comercios, teatros, instituciones de prestigio y transporte público de toda Barcelona. El piso se entrega reformado a estrenar y mantiene preciosos elementos originales como la volta catalana en los techos y paredes de ladrillo visto. Dispone de 248 m2 construidos y está en la 3ª planta real de una finca clásica con ascensor, conserje y terraza comunitaria. Un gran recibidor nos da la bienvenida al piso. El impresionante salón-comedor con cocina abierta tiene una superficie de 67 m2 más una galería de 20 m2 con grandes ventanales que da al patio de manzana. Esto te permite disfrutar de un gran espacio que es acogedor, luminoso y tranquilo, creando diferentes ambientes a tu gusto. Los techos altos realzan la sensación de calma y amplitud. La cocina de diseño tiene una isla central y está totalmente equipada con electrodomésticos de alta gama.  La zona de noche tiene 4 habitaciones, 2 de ellas en suite con vestidor y cuarto de baño propio. La suite principal ocupa todo un extremo de la vivienda y está orientada hacia la calle. La segunda suite está al lado del salón y dispone de una galería que da al patio de manzana. Las otras 2 habitaciones (una doble y otra mediana) son interiores pero luminosas. Por último, hay un cuarto de baño independiente. La vivienda está equipada con suelos de parquet y climatización mediante aerotermia por conductos. No dudes en contactar con Bcn Advisors para visitar este piso. En nuestra web encontrarás muchos más inmuebles que los publicados aquí y además disponemos de un amplio catálogo privado de propiedades que pueden ajustarse a lo que estás buscando.",{'typology': 'flat'},982,Eixample,True,BCN074009380,3,False,True,True,True,False,True,{'groupDescription': 'Top+'},41.38663,2.166206,Barcelona,La Dreta de l'Eixample,False,,False,[],70,sale,,1495000.0,6028.0,"{'price': {'amount': 1495000.0, 'currencySuffix': '€'}}",106144229,flat,Barcelona,1,4,{},False,248.0,good,"{'subtitle': ""La Dreta de l'Eixample, Barcelona"", 'title': 'Piso'}",https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c8/b7/b5/1307828794.webp,False,True,https://www.idealista.com/inmueble/106144229/
Gran Via de les Corts Catalanes,2,{},es,"Savills presenta una oportunidad única de adquirir una vivienda de obra nueva situada en uno de los enclaves más privilegiados de Barcelona, la Gran Vía. Este inmueble forma parte de un edificio histórico completamente rehabilitado que conserva la majestuosidad arquitectónica de principios de siglo y la combina con todas las comodidades de un residencial contemporáneo de alto nivel. Se trata de un piso ubicado en la primera planta que ofrece una superficie construida de 69 m² junto con un acogedor patio privado de 10 m², un espacio que aporta un valor añadido poco común en pleno centro de la ciudad. La distribución ha sido diseñada con el máximo cuidado para optimizar cada metro cuadrado y crear ambientes amplios y luminosos.  El salón-comedor destaca por sus generosas dimensiones y la abundante entrada de luz natural, con salida directa al patio, convirtiéndose en un espacio perfecto tanto para el descanso como para recibir invitados. La cocina se integra de manera abierta en la zona de día y está equipada con electrodomésticos de alta gama, aportando un diseño moderno y funcional que se adapta a las necesidades de un estilo de vida actual. La vivienda dispone de dos dormitorios dobles, uno de ellos en suite con baño privado, además de un segundo baño completo, todos ellos con acabados de primer nivel. En cuanto a los detalles, la propiedad se entrega con suelo de parquet de alta calidad, climatización mediante aire acondicionado y calefacción, así como un sistema domótico que permite controlar la iluminación, la temperatura y la seguridad con total comodidad.  El edificio en el que se encuentra la vivienda, ofrece a sus residentes una serie de servicios exclusivos que elevan aún más la experiencia de vivir en él, incluyendo piscina comunitaria con solárium, zona de spa y bienestar con sauna, gimnasio completamente equipado, conserjería y vigilancia nocturna. Todo ello en un entorno seguro, elegante y pensado para garantizar la máxima tranquilidad. La ubicación, en pleno corazón de la Gran Vía, permite disfrutar de la oferta cultural, gastronómica y comercial más variada de la ciudad, con excelentes conexiones de transporte público que facilitan el acceso a cualquier punto de Barcelona. Se trata, en definitiva, de un hogar que combina historia, diseño y exclusividad en una de las direcciones más deseadas de la ciudad. Póngase en contacto con Savills para coordinar una visita.",{'typology': 'flat'},978,Eixample,True,SR290830,1,False,True,True,True,False,True,{'groupDescription': 'Top+'},41.385054,2.1643967,Barcelona,L'Antiga Esquerra de l'Eixample,False,,False,[],35,sale,,530000.0,7681.0,"{'price': {'amount': 530000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 560000.0, 'priceDropValue': 30000, 'priceDropPercentage': 5}}}",109119691,flat,Barcelona,1,2,{},False,69.0,good,"{'subtitle': ""L'Antiga Esquerra de l'Eixample, Barcelona"", 'title': 'Piso en Gran Via de les Corts Catalanes'}",https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b4/51/be/1364905769.webp,False,True,https://www.idealista.com/inmueble/109119691/
paseo de Colom,2,{},es,"Descubra este ático raro y exclusivo en venta, idealmente ubicado frente al Puerto de Barcelona, con una terraza privada y vistas panorámicas incomparables. Situado en la quinta planta real de un edificio bien mantenido y equipado con ascensor, este apartamento ofrece una superficie habitable de 170 m², además de acceso exclusivo a una terraza privada de la misma superficie, accesible mediante la escalera comunitaria. Totalmente renovado, el espacio ha sido diseñado para maximizar la luz natural eliminando paredes innecesarias. Gracias a su orientación sur y a dos balcones frontales, el apartamento disfruta de una luminosidad excepcional. El diseño interior combina elegancia y modernidad, con materiales de alta calidad y acabados impecables. Este ático cuenta con dos amplios dormitorios dobles, incluido un dormitorio principal en suite con vestidor. Esta suite puede separarse del resto de la propiedad mediante puertas correderas integradas para mayor privacidad y ofrece vistas directas al puerto. El segundo dormitorio está ubicado cerca de la entrada, junto al primer baño y a un lavadero. El apartamento está equipado con instalaciones de última generación, como ventanas Climalit de alta gama, aire acondicionado centralizado integrado y un sofisticado sistema de seguridad con cámaras controlado mediante domótica. La terraza privada ha sido cuidadosamente diseñada con un revestimiento de madera para exteriores, un sistema de riego con purificación de agua que abastece todo el apartamento, muebles de exterior y todo lo necesario para disfrutar plenamente de las impresionantes vistas al puerto. El Barrio Gótico es el núcleo más antiguo de la ciudad. Está delimitado por Las Ramblas, La Vía Laietana, el Paseo Colón y la Plaza de Catalunya, cada uno de estos puntos por sí solos tiene su propia importancia e historia. De calles angostas y estructura irregular, varios de sus edificios han sido construidos sobre los restos románicos de la ciudad, así que puede hacerse con algún apartamento en el que al menos una pared date de la época romana o medieval. Es el barrio turístico por excelencia por lo que representa una inversión asegurada, sobretodo si está cerca de alguno de sus atractivos como La Catedral, la Plaza Sant Jaume con el Ayuntamiento y el Palacio de la Generalitat, la Plaza Real, Las famosas Rambas, y el Museo de Historia de la ciudad. Este podría ser su barrio si busca hacer una inversión rentable o adquirir un excelente piet-à-terre en un barrio con gran historia, edificaciones particulares, de interés turístico y con todo tipo de negocios a mano, buena gastronomía, y múltiples rincones mágicos para descubrir y recorrer.","{'typology': 'flat', 'subTypology': 'penthouse'}",677,Ciutat Vella,True,BCNP6558,5,False,True,True,True,False,False,{'groupDescription': 'Top+'},41.3829129,2.1811366,Barcelona,El Gòtic,False,,False,[],30,sale,,1580000.0,9294.0,"{'price': {'amount': 1580000.0, 'currencySuffix': '€'}}",106800064,penthouse,Barcelona,1,2,{},False,170.0,good,"{'subtitle': 'El Gòtic, Barcelona', 'title': 'Ático en paseo de Colom'}",https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/06/e4/a4/1294383576.webp,False,True,https://www.idealista.com/inmueble/106800064/
calle de Trafalgar,5,{},es,"Ubicada en la intersección entre la Dreta de l’Eixample y el encantador barrio del Born, esta lujosa vivienda recién reformada te cautivará con sus amplios y luminosos espacios. Situada en la primera planta de una hermosa finca catalogada, que cuenta con ascensor y servicio de conserjería, esta joya abarca casi 350 metros cuadrados y presenta techos que superan los 3,20 metros de altura. Al ingresar desde la calle Trafalgar, te recibe una impresionante suite principal que ocupa toda la fachada, adornada con dos balcones y una elegante tribuna. En sus más de 60 metros cuadrados, se han creado distintos ambientes: un acogedor dormitorio con una espectacular bañera de la marca Inbani a los pies de la cama, una zona de salón privada, y un vestidor que da paso a un amplio baño en suite con doble ducha. Esta ala de la vivienda se cierra con una elegante doble puerta de madera y otra corredera de cristal con apertura automática mediante sensores. Desde el recibidor, accedemos a la generosa zona de día orientada al sureste, que incluye un impresionante salón-comedor con cocina abierta de la marca Modulnova, equipada con electrodomésticos de alta gama De Dietrich y Miele, un frigorífico americano de doble puerta Liebher y una vinoteca para 34 botellas de Electrolux. Junto al salón, se encuentra la segunda suite, que también cuenta con ventana a la calle, vestidor y un amplio baño. En el corazón de la vivienda, dos espaciosas habitaciones, cada una con su propio armario y baño en suite, dan a un patio de luces, proporcionando tranquilidad y luminosidad. Además, la propiedad incluye un ingenioso espacio que puede servir como pequeño despacho, un aseo de cortesía y una zona de lavadero equipada con lavadora y secadora. La reforma ha sido meticulosamente diseñada, teniendo en cuenta cada detalle de confort y estilo. Las paredes y techos han sido aislados acústica y térmicamente, garantizando un ambiente acogedor. La climatización se distribuye a través de conductos en todas las estancias. El suelo, de parquet de madera de roble natural en espiga en las áreas comunes y en lama ancha en las zonas privadas, aporta calidez y elegancia.",{'typology': 'flat'},829,Ciutat Vella,True,3450,1,False,True,True,True,False,True,{'groupDescription': 'Top+'},41.3873467,2.175752,Barcelona,Sant Pere - Santa Caterina i la Ribera,False,,False,[],84,sale,,2240000.0,6455.0,"{'price': {'amount': 2240000.0, 'currencySuffix': '€'}}",106235493,flat,Barcelona,1,4,{},False,347.0,good,"{'subtitle': 'Sant Pere - Santa Caterina i la Ribera, Barcelona', 'title': 'Piso en calle de Trafalgar'}",https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/94/7d/10/1282674615.webp,False,True,https://www.idealista.com/inmueble/106235493/
calle de Manresa,2,{},es,"Exclusiva propiedad de alto standing en venta en el emblemático barrio de El Born, Barcelona Ubicada en una finca histórica en el corazón de El Born, esta elegante vivienda ha sido completamente reformada con materiales de primera calidad y un diseño contemporáneo que respeta el encanto original del edificio. La propiedad destaca por su luminosidad natural y su distribución funcional, con una suite principal amplia con su baño integrado t dos dormitorios dobles, todos ellos equipados con armarios empotrados a medida, dos baños completos con acabados de diseño, y un amplio salón-comedor con cocina abierta de estilo moderno, completamente equipada con electrodomésticos de alta gama. El confort está garantizado gracias a la instalación de un sistema de climatización por conductos, discretamente integrado en los falsos techos, que proporciona aire acondicionado y calefacción en todas las estancias. El suelo de parquet de madera natural aporta calidez y elegancia a cada rincón del hogar. Una oportunidad única de adquirir una vivienda de lujo en una de las zonas más exclusivas y con más carácter de Barcelona, ideal tanto como residencia principal como inversión con alto valor patrimonial.",{'typology': 'flat'},695,Ciutat Vella,True,3784,,False,True,True,True,False,True,{'groupDescription': 'Top+'},41.3845892,2.1796722,Barcelona,Sant Pere - Santa Caterina i la Ribera,False,,False,[],33,sale,,695000.0,7240.0,"{'price': {'amount': 695000.0, 'currencySuffix': '€'}}",108480264,flat,Barcelona,1,3,{},False,96.0,good,"{'subtitle': 'Sant Pere - Santa Caterina i la Ribera, Barcelona', 'title': 'Piso en calle de Manresa'}",https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/59/c3/da/1375665540.webp,False,True,https://www.idealista.com/inmueble/108480264/
calle de Montcada,2,{},es,"Es increíble como, aún después de tantos años por aquí, aún tenemos propiedades que me siguen sorprendiendo. Y que suerte poder disfrutarlas, aunque sea sólo un ratito. Este piso se ve que es especial, que tiene ese algo que no se puede explicar, pero que se siente. Con todos sus colores, sus plantas, su personalidad, este nido te atrapa, te envuelve en un abrazo cálido del que no querrías separarte nunca. Es una experiencia para vivirla. Este piso de 203m² repercutidos (158m² útiles de piso, 55m² de patio privado en planta baja y 36m² de terraza en planta alta. En la planta baja encontramos salón-comedor y cocina office independiente, ambos con salida a patio, habitación doble en suite con doble salida a patio y estudio/habitación individual. En la planta alta hay un estudio, habitación doble en suite y terraza. El piso cuenta con ventanas con doble acristalamiento, aire acondicionado, calefacción individual por radiadores, armarios empotrados y trastero. Tiene elementos originales como el techo con volta catalana, molduras y vigas. Se contruyó en 1751 aunque se rehabilitó en el 2000. Ref: THH3278.",{'typology': 'flat'},693,Ciutat Vella,True,THH3278,1,False,True,False,True,False,True,{'groupDescription': 'Top+'},41.3849647,2.1790231,Barcelona,Sant Pere - Santa Caterina i la Ribera,False,,False,[],47,sale,,1720000.0,10886.0,"{'price': {'amount': 1720000.0, 'currencySuffix': '€'}}",108364617,flat,Barcelona,1,3,{},False,158.0,good,"{'subtitle': 'Sant Pere - Santa Caterina i la Ribera, Barcelona', 'title': 'Piso en calle de Montcada'}",https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e8/77/75/1341917815.webp,False,True,https://www.idealista.com/inmueble/108364617/
calle dels Escudellers Blancs,3,{},es,"¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad. Exclusivo piso a estrenar situado en el barrio de El Gòtic, en Barcelona. La vivienda está ubicada en la planta 2 exterior con ascensor. Dispone de una superficie total de 130 m², distribuidos en salón y comedor, cocina independiente equipada, 3 dormitorios y 2 baño y 1 aseo. Además, cuenta con ascensor, terraza, cocina amueblada, armarios empotrados, aire acondicionado, balcón y trastero. Situado en el barrio de El Gòtic, en la Calle Escudellers Blancs, cuenta con una ubicación que te permitirá estar cerca de la Plaça Reial, así como de supermercados, restaurantes, colegios, parques y múltiples paradas de autobús. Agenda tu visita y te acompañamos en todo el proceso. Llámanos de lunes a viernes de 9.00h a 20.00h.",{'typology': 'flat'},126,Ciutat Vella,True,CLK00/3932,2,True,False,True,True,True,True,{'groupDescription': 'Top+'},41.3811043,2.1743843,Barcelona,El Gòtic,False,,False,[],39,sale,,600000.0,4615.0,"{'price': {'amount': 600000.0, 'currencySuffix': '€'}}",106294061,flat,Barcelona,1,3,{},False,130.0,good,"{'subtitle': 'El Gòtic, Barcelona', 'title': 'Piso en calle dels Escudellers Blancs'}",https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a0/a6/12/1357110811.webp,False,True,https://www.idealista.com/inmueble/106294061/
